ck_id,lat,lng,additional_notes,base_area,base_perimeter,base_shape,birthID,bolted_to_ground,condition_notes,depth,faucet_design,faucet_height_cm,faucet_length_cm,flow_rate,format,height,height_cm,high_traffic_area,material,number_of_drains,old_code,original_paint_remaining_pct,owner,parish,raised_drain,risk_factor_algae_pct,risk_factor_graffiti_pct,risk_factor_grime,risk_factor_missing_pieces,risk_factor_overall_damage_pct,risk_factor_rust_percent,risk_factor_surface_damage_percent,running,service_panel,sestiere_or_island,street,street_address,subtype,surface_area_sq_cm,totalDonated,type,visibility,width,width_cm,wiki_friendly_title
4f371b39-5e49-80db-5a0a-8fbf16d7c1ee,45.44634274,12.32896981,"Drain fill with concrete, no faucet",95,35,circle,CN3275F,FALSE,no faucet,8,other,0,0,0,JPEG,3264,90,FALSE,metal,0,64,5,VESTA,S. Alvise,FALSE,0,30,low,many,4,50,10,FALSE,FALSE,Cannaregio,Calle de le Muneghe,CN3275,type F,4135,0,fountain,low,2448,unknown,Fountain - CN3275F_2014
50182fa2-d9a5-b000-dbe0-eaabd3f7deb1,45.455204,12.353113,,0,0,Circle,MU12F,TRUE,,8,spout,41,22,0,JPEG,3264,87,,metal,1,,,City of Venice,,,0,0,50,50,,70,5,,FALSE,Murano,Campo S.Stefano,MU12,Well_Pozzo,462,,,high,2448,,Fountain - MU12F_2014
505e79a8-4c4c-b220-5ebd-9437d3b2cb42,45.44067122,12.32523164,Missing top and drain; filled with concrete,3234,238,square with rounded corners,SC1156F,TRUE,missing top and drain; filled with concrete,8,lion,80,8,0,JPEG,3264,124,FALSE,metal,0,27,0,VESTA,S. Simeone Grande,TRUE,0,10,low,some,0,70,1,FALSE,FALSE,Santa Croce,Ramo Sesto Gallion,SC1156,type B,14054,0,fountain,low,2448,59.5,Fountain - SC1156F_2014
5092b535-70f0-58fa-b67e-f69e5e184229,45.485905,12.418002,Christmas decorations were wrapped and tied around the fountain.,71.61972439,30,Circle,BN427F,FALSE,,8,spout,80,11,0,JPEG,3264,110,,metal,2,,,City of Venice,,,0,0,50,0,,30,15,,TRUE,Burano,Campiello daffan,BN427,Type G_Tubo,3481.619724,,,Low,1840,,Fountain - BN427_2014
553bdb10-9852-1b80-fae8-47406287539c,45.44035,12.336707,,0,0,Circle,CN4542F,FALSE,,8,Spout,56,22,0,JPEG,2448,65,,Metal,1,,,City of Venice,,,0,0,1,50,,0,0,,FALSE,Cannaregio,campo s.s apostoli,CN4542,Well_Pozzo,440,,,High,3264,,Fountain - CN4542_2014
55475146-278a-cfa8-3510-66012907a712,45.42539661,12.33228452,,20250,180,square,DD195F,TRUE,,8,spout,73,20,4.5,JPEG,3264,132,TRUE,metal,1,50,4,City of Venice,unknown,FALSE,10,0,medium,none,25,15,5,TRUE,TRUE,Dorsoduro,Campo del Redentore,DD195,type A,12544,0,fountain,medium,2448,45,Fountain - DD195F_2014
55ef77a4-581c-a4f2-2439-53df0dc9f971,45.42573199,12.32920717,Missing top and filled with trash,3234,238,square with rounded corners,DD251F,TRUE,basin overflowing,8,lion,80,8,1.4,JPEG,3264,140,FALSE,metal,1,52,0,City of Venice,unknown,TRUE,40,10,medium,some,26,45,15,TRUE,TRUE,Dorsoduro,Fondamente S. Giacomo,DD251,type B,14054,0,fountain,medium,2448,59.5,Fountain - DD251F_2014
5bc28ab1-174c-f0d0-5fc8-1a307afa3aa0,45.484551,12.418991,,0,0,Circle,BN335F,FALSE,,8,lion,68,30,0,JPEG,3264,90,,metal,1,,,City of Venice,,,0,0,50,0,,40,5,,FALSE,Burano,Pizza Galuppi,BN335,Well_Pozzo,480,,,high,1840,,Fountain - BN335F-2014
5bef1135-fc11-fa09-2b36-99feab07915f,45.43550283,12.33763812,Basin filled with concrete.,3234,238,square with rounded corners,SM983F,TRUE,basin filled with concrete,8,lion,80,8,0,JPEG,3264,130,FALSE,metal,1,39,0,VESTA,S. Mois_,TRUE,0,1,low,some,20,5,5,FALSE,FALSE,San Marco,Rio Ter_ de le Colone,SM983,type B,14054,0,fountain,low,2448,59.5,Fountain - SM983F_2014
5bfb3141-093c-6d55-3b10-def495179738,45.453131,12.353742,,900,120,Square,MU23F,TRUE,,8,lion spout,97,0,2.2,JPEG,3264,149,,metal,1,,,City of Venice,,,10,5,50,0,,15,5,,TRUE,Murano,Bressagio,MU23,Type B_Puglia,18780,,,high,2448,,Fountain - MU23F_2014
